Building Permit Application Number,Building Address,Date Issued,Document Type,Number of Units Certified
201209200274,685 Florida Street,2018/04/10,CFC,4
201508214923,1826 15th Street,2018/04/13,CFC,1
201406279810,79 Caine Avenue,2018/04/13,CFC,1
201406279799,77 Caine Avenue,2018/04/13,CFC,1
201410169154,4171 24th Street,2018/04/17,CFC,5
201611293687,975 Woolsey Street,2019/04/24,CFC,1
201602240424,2526 16th Avenue,2018/04/24,CFC,1
201407111074,1783 Noe Street,2018/04/25,CFC,1
201607182650,525 Hartford Street,2018/04/26,CFC,1
201607152444,2790 Folsom Street,2018/04/26,CFC,1
201608195497,552 Bowdoin Street,2018/04/26,CFC,1
201510099393,1271 24th Avenue,2018/04/27,CFC,1
201612144941,626A 29th Street,2018/04/30,CFC,1
201405054911,815 Tennessee Street,2018/05/02,Amended TCO,64
201408133775,1000 3rd Street,2018/05/07,Amended TCO,49
201406138394,150 Van Ness Avenue,2019/05/08,Amended TCO,180
201406259383,800 Indiana Street,2018/05/08,Amended TCO,32
201305015894,181 Femont Streer,2018/05/08,Amended TCO,35
201405054911,815 Tennessee Street,2018/05/22,Amended TCO,5
201508134190,240 Pacific Avenue,2018/05/22,Amended TCO,32
201006104250,5050 Mission Street,2018/05/25,Initial TCO,61
201305015894,181 Femont Streer,2018/05/29,Amended TCO,12
201305015894,181 Femont Streer,2018/05/29,Amended TCO,8
201705237369,797 Victoria Street,2018/05/01,CFC,1
201708316569,929-931 Hayes Street,2018/05/03,CFC,1
201609278931,2127-2131 Taylor Street,2018/05/04,CFC,1
201609137608,1555 Greenwich Street,2018/05/04,CFC,1
201509237776,2941 Gough Street,2018/05/05,CFC,1
201603313615,2127 Taylor Street,2018/05/07,CFC,4
201605278673,462 22nd Avenue,2018/05/08,CFC,2
201612084415,164 23rd Avenue,2018/05/09,CFC,1
200801021686,2131 North Point St,2018/05/10,CFC,1
201612296241,1578 8th Avenue,2018/05/11,CFC,1
201609268810,351 Mangels Av,2018/05/15,CFC,1
201312043311,701 Silver Avenue,2018/05/16,CFC,1
201703211934,253 11th Avenue,2018/05/21,CFC,1
201406269581,166-168  Sproule Lane,2018/05/22,CFC,2
201709209145,4431 24th Street,2018/05/23,CFC,1
201707263024,3535-3537 Anza Street,2018/05/25,CFC,1
201710201885,288 Farallones Street,2018/05/25,CFC,1
201707202518,49 Broad Street,2018/05/29,CFC,1
201605036406,985 Church Street,2018/05/31,CFC,1
201406138394,150 Van Ness Avenue,2018/06/06,Amended TCO,144
201305015894,181 Fremont Street,2018/06/27,Amended TCO,10
201406269523,1036 Mission Street,2018/06/29,Initial TCO,83
201704184284,1561 7th Avenue,2018/06/01,CFC,1
201612134768,255 Dolores,2018/06/05,CFC,2
201611082228,2729 34th Avenue,2018/06/06,CFC,1
201707192337,121 Riverton Drive,2018/06/07,CFC,1
201312093685,580 Hayes Street,2018/06/08,CFC,4
201610200847,1742 North Point Street,2018/06/12,CFC,1
201410027946,371 12th Avenue,2018/06/14,CFC,1
201511233353,11 Hiliritas Avenue,2018/06/13,CFC,1
201602038772,1445 Mason Street,2018/06/14,CFC,3
201604053922,582 Naples Street,2018/06/15,CFC,1
201508315738,840-842 Fell Street,2018/06/15,CFC,1
201712146509,522-524 37th Avenue,2018/06/13,CFC,2
201706219924,1031 Santiago Street,2018/06/19,CFC,1
201706058437,1875 Lombard Street,2018/06/21,CFC,2
201706300827,571 Ivy Street,2018/06/21,CFC,1
201608296230,109 17th Avenue,2018/06/22,CFC,1
201702169536,548 Banks Street,2018/06/25,CFC,1
201610311558,2135 California Street,2018/06/27,CFC,1
201011295645,721 Beach Street,2018/06/27,CFC,2
201708245778,162-164 College Avenue,2018/06/29,CFC,1
201406259383,800 Indiana Street,2019/07/14,Amended TCO,31
201704174171,2240 Washington Street,2018/07/19,Initial TCO,1
201501145725,500 Hudson Avenue,2018/07/24,Initial TCO,1
201412053170,10 Kennedy Place,2018/07/30,Initial TCO,8
201412194135,10 Innes Court,2018/07/30,Initial TCO,31
201710262345,8 Gilroy Street,2018/07/03,CFC,1
201708154927,2349 26th Avenue,2018/07/05,CFC,1
201605258278,1385 Clay Street,2018/07/06,CFC,1
201505126076,6 Bonview Street,2018/07/09,CFC,1
201505126084,2 Bonview Street,2018/07/09,CFC,1
201707131794,36 Norton Street,2018/07/10,CFC,1
201510301346,949 Fell Street,2018/07/16,CFC,2
201701278105,20 Dartmouth Street,2018/07/17,CFC,1
201704275087,427 Joost Avenue,2018/07/17,CFC,1
201508134190,240 Pacific,2018/07/18,CFC,1
201712116168,438-440 Alvarado Street,2018/07/26,CFC,1
201507161644,1238 Sutter Street,2018/07/19,CFC,37
201307232514,287 14th Avenue,2018/07/19,CFC,1
201406259383,800 Indiana Street,2018/08/01,Amended TCO,25
201305015894,181 Fremont Street,2018/08/16,Amended TCO,1
201602230301,750 Harrison Street,2018/08/17,Initial TCO,79
201606281077,75 Arkansas Street,2018/08/22,Initial TCO,30
201507272485,626 Mission Bay Blvd North,2018/08/24,Amended TCO,143
201512185561,3053 Turk Street,2018/08/02,CFC,2
201410158900,19 Arguello Blvd,2018/08/03,CFC,1
201604215342,2341 Chestnut Street,2018/08/03,CFC,1
201601227749,636 Carolina Street,2018/08/03,CFC,1
201012217130,2007 Franklin Street,2018/08/03,CFC,1
201706129033,1698A 27th Avenue,2018/08/07,CFC,1
200712140534,1 Stanyan Street,2018/08/09,CFC,13
201504234455,2755 McAllister Street,2018/08/10,CFC,3
201703151563,320C Capp Street,2018/08/10,CFC,1
201502198744,1241 Shrader Street,2018/08/13,CFC,2
201412123685,163 University,2018/08/17,CFC,1
201512225698,2477 Lombard Street,2018/08/17,CFC,1
201605258283,80 7th Avenue,2018/08/20,CFC,2
201701106857,662 Cambell Avenue,2018/08/23,CFC,1
201606270934,2349 North Point Street,2019/08/24,CFC,1
201606170332,3350 Taraval Street,2018/08/24,CFC,1
201507101227,439-441 43rd Avenue,2018/08/24,CFC,1
201703222064,495 Utah Street,2018/08/29,CFC,1
201603283243,505 Church Street,2018/08/30,CFC,1
201412123652,37 Blake Street,2018/08/31,CFC,2
201707172032,2146 31st Avenue,2018/09/04,CFC,1
201708316545,227A Randolph Street,2018/09/04,CFC,1
201707101423,2187 21st Avenue,2018/09/05,CFC,1
201602129574,2730 Sacramento Street,2018/09/05,CFC,1
200803288274,1167 Stanyan Street,2018/09/07,CFC,1
201612195342,910 Presidio,2018/09/08,CFC,1
201503191389,550 7th Avenue,2018/09/11,CFC,1
201407030471,19-23 Rosemont Place,2018/09/12,CFC,2
200712311569,845 Post Street,2018/09/13,CFC,4
201608256051,1200 Treat Avenue,2018/09/14,CFC,3
201809170548,10 Niantic Avenue,2018/09/18,CFC,1
201707273147,2002 Pierce Street,2018/09/19,CFC,1
201708074067,104 Guerrero Street,2018/09/20,CFC,1
201611162922,1418 Rhode Island Street,2018/09/20,CFC,4
201505287452,811 Treat Avenue,2018/09/21,CFC,2
201203146037,906 Cortland Avenue,2018/09/26,CFC,2
201308235158,89 Belgrave Avenue,2018/09/28,CFC,1
201512235830,1598 Bay Street,2018/10/28,Initial TCO,28
201606018897,4740 Balboa Street,2018/10/01,CFC,2
201209109355,104 Gilman Avenue,2018/10/01,CFC,1
201606200415,624 Hampshire Street,2018/10/01,CFC,1
201502249220,1152 Potrero Avenue,2018/10/02,CFC,2
201303152358,170-180 Yukon Street,2018/10/02,CFC,2
201704214618,1670 Kirkwood Avenue,2018/10/05,CFC,1
201406269542,1335 Folsom Street,2018/10/10,CFC,53
201203276943,135 Yukon Street,2018/10/15,CFC,1
201706209841,2065 powell Street,2018/10/15,CFC,1
201402138456,3339 Anza Street,2018/10/16,CFC,1
201807245374,279 Monterey Blvd,2018/10/17,CFC,2
201410108600,44 Woodward Street,2018/10/19,CFC,3
201804247223,417 Lyon Street,2018/10/22,CFC,1
201611183146,419 20th Avenue,2018/10/25,CFC,1
201505227018,1850 Sacramneto Street,2018/10/25,CFC,1
201410159002,1560 Dolores Street,2018/10/26,CFC,1
201512114904,1339 Francisco Street,2018/10/30,CFC,1
201610130233,4164 26th Street,2018/10/31,CFC,1
201705267779,2536 Greenwich Street,2018/10/31,CFC,1
201803093352,65 Cora Street,2018/10/12,CFC,1
200806275522,369 18th Avenue,2018/11/15,Initial TCO,41
201502178455,982 Guerrero Street,2018/11/02,CFC,1
201601086638,84 Harriet Street,2018/11/06,CFC,1
201602190078,4023 Pacheco Street,2018/11/08,CFC,1
201801299807,1477 39th Street,2018/11/13,CFC,1
201605167544,1966 California Street,2018/11/16,CFC,1
201608054349,80 terra Vista Avenue,2018/11/26,CFC,4
201411191947,116 Elsie Street,2018/11/27,CFC,1
201701177306,423 Faxon Avenue,2018/11/27,CFC,1
201607011383,274A Diamond Street,2018/11/29,CFC,1
201608094608,855 Waller Street,2018/11/30,CFC,3
201705307830,2214 36th Avenue,2018/12/05,CFC,1
201704285242,644 Natoma Street,2018/12/05,CFC,3
201812067652,1964A Filbert Street,2018/12/07,CFC,1
201602250572,515A 2nd Avenue,2018/12/07,CFC,2
201610210934,653 Head Street,2018/12/07,CFC,1
201608225711,730 Lyon Street,2018/12/07,CFC,1
201309045886,801 Brannan Street,2018/12/07,CFC,120
201401277177,454 Ralston Street,2018/12/13,CFC,1
201506179222,29A Rausch Street,2018/12/12,CFC,1
201803294957,200 Faxon Avenue,2018/12/14,CFC,1
201510270858,2828 Webster Street,2018/12/14,CFC,1
201508124040,28 Elgin Park,2018/12/14,CFC,3
201706159411,3700 20th Street,2018/12/17,CFC,1
201711023013,1525 30th Avenue,2018/12/19,CFC,1
201710131184,213 Kenwood  Way,2018/12/19,CFC,1
200908124639,1731 Powell Street,2018/12/19,CFC,18
201602018478,1355 Bay Street,2018/12/20,CFC,1
201612275907,900 Presidio Avenue,2018/12/21,CFC,1
201506239703,750 14th Street,2018/12/27,CFC,4
201608296272,2800 Arelious Walker Dr,2019/01/14,Initial TCO,16
201705307839,1348 27th Avenue,2019/01/03,CFC,1
201812067578,104 Bache Street,2019/01/04,CFC,2
201611172995,1320 Page Street,2019/01/08,CFC,1
201306250398,1 Henry Adams,2019/01/08,CFC,156
201712186766,244 Ashton Avenue,2019/01/08,CFC,1
201312265013,4621 19th Street,2019/01/09,CFC,1
201603162175,987-993 Dolores Street,2019/01/10,CFC,1
201312204680,2251 Greenwich Street,2019/01/10,CFC,1
201504093240,22 Franklin Street,2019/01/10,CFC,35
201802272390,1217-1219 Rhode Island,2019/01/11,CFC,1
201306149565,1255-1275 Columbus Av,2019/01/11,CFC,20
201803133512,3075A 25th Aveneue,2019/01/11,CFC,1
201507313053,1230 21st Avenue,2019/01/14,CFC,1
201804277637,195A Otsego Av,2019/01/15,CFC,1
201505186604,258A 24th Avenue,2019/01/18,CFC,1
201408063132,331 Capistrano,2019/01/23,CFC,1
201507171757,336 Princeton Street,2019/01/23,CFC,1
201807255518,1326-1328 44th Avenue,2019/01/24,CFC,1
201705166700,1723 31st Avenue,2019/01/24,CFC,1
201805038172,575-577 29th Street,2019/01/29,CFC,1
201605127294,1231 Grove Street,2019/01/29,CFC,1
201607051512,280A 11th Avenue,2019/01/30,CFC,1
201710201856,4130 Geary Blvd,2019/01/30,CFC,1
201512144997,508 Hudson Avenue,2019/02/05,Initial TCO,1
201512144998,512 Hudson Avenue,2019/02/05,Initial TCO,1
201512144999,516 Hudson Avenue,2019/02/05,Initial TCO,1
201512145000,520 Hudson Avenue,2019/02/05,Initial TCO,1
201512145001,524 Hudson Avenue,2019/02/05,Initial TCO,1
201512145002,528 Hudson Avenue,2019/02/05,Initial TCO,1
201512145003,532 Hudson Avenue,2019/02/05,Initial TCO,1
201512145019,536 Hudson Avenue,2019/02/05,Initial TCO,1
201405307085,1532 Howard Street,2019/02/20,Initial TCO,15
200806275522,369 18th Avenue,2019/02/01,CFC,2
201707141970,907 Innes Avenue,2019/02/01,CFC,2
201505146298,3810 Divisadero Street,2019/02/01,CFC,1
201808177715,84 Harriet Street,2019/02/06,CFC,1
201712075786,192 Maddux Avenue,2019/02/07,CFC,1
201502138349,854 Capp Street,2019/02/07,CFC,4
201803133556,1745A Revere Avenue,2019/02/07,CFC,1
201706270486,432-434 Kirkham Street,2019/02/11,CFC,1
201610130185,1273 10th Avenue,2019/02/11,CFC,1
201806273153,1711 McKinnon,2019/02/12,CFC,1
201603242991,2400 Van Ness Avenue,2019/02/13,CFC,3
201611183166,19A Mizpah Street,2019/02/14,CFC,1
201508073699,2411 Webster Street,2019/02/14,CFC,1
201802282510,2646 California Street,2019/02/14,CFC,1
201902143018,526 Utah Street,2019/02/15,CFC,1
201607273501,4039-4041 Cesar Chavez,2019/02/22,CFC,2
201710050474,1920 48th Avenue,2019/02/25,CFC,1
201607263406,111 Trenton,2019/02/27,CFC,1
201604286003,470A 11th Avenue,2019/02/27,CFC,1
201612215533,772 4th Avenue,2019/02/27,CFC,1
201701247799,1279 Fitzgerald Ave,2019/02/28,CFC,1
201812128099,1478 47th Avenue,2019/02/28,CFC,1
201508063607,595 Mariposa Street,2019/03/27,Amended TCO,20
201412113579,831-835 South Van Ness,2019/03/01,CFC,3
201404173443,2621 Harrison Street,2019/03/01,CFC,2
201801047838,1375 31st Avenue,2019/03/04,CFC,1
201405216394,40 Bernal Heights Blvd,2019/03/06,CFC,1
201405216395,985 Powhattan Avenue,2019/03/06,CFC,1
201405216387,655 Powhattan Avenue,2019/03/06,CFC,1
201405216396,1025 Powhattan Avenue,2019/03/07,CFC,1
201805229849,1475 Church Street,2019/03/07,CFC,1
201609137558,1125 Union Street,2019/03/14,CFC,3
201808238103,2153-2155 North Point,2019/03/15,CFC,1
201512185513,1359 Minna Street,2019/03/18,CFC,1
201704073425,3123 Ulloa Street,2019/03/20,CFC,1
201808207775,215-215A Detroit Street,2019/03/22,CFC,1
201712075857,1171 York Street,2019/03/22,CFC,1
201608054354,1731 Lake Street,2019/03/22,CFC,1
201711103737,2144 Hayes Street,2019/03/22,CFC,1
201705247586,1169-1171 Stanyan Street,2019/03/26,CFC,1
201711174256,1371 Broadway,2019/03/27,CFC,1
201412234418,245 1st Street,2019/04/04,Initial TCO,420
201412234418,245 1st Street,2019/04/12,Amended TCO,10
201507060668,95 Laguna Street,2019/04/25,Initial TCO,79
201602179822,210 Taylor Street,2019/04/30,Initial TCO,113
201612165164,200 Guerrero Street,2019/04/02,CFC,2
201607182596,2-12 Coso Avenue,2019/04/04,CFC,2
201607061649,21 Castro Street,2019/04/09,CFC,1
201710201835,727 Delana Avenue,2019/04/10,CFC,1
201701106843,229 Coleridge Street,2019/04/11,CFC,1
201703292656,900 Oak Street,2019/04/15,CFC,1
201612286021,532 41st Avenue,2019/04/17,CFC,1
201701268051,1547 Clay Street,2019/04/18,CFC,2
201711022938,2810 Washington Street,2019/04/18,CFC,1
201603162267,186 Valley Street,2019/04/19,CFC,1
201710272493,22 Terra Vista,2019/04/23,CFC,1
201705197197,3501A Noriega Street,2019/04/26,CFC,1
201903145265,888 De Haro Street,2019/04/08,CFC,1
201606160127,1985 Fulton Street,2019/04/10,CFC,2
201802131183,1451 Mariposa Street,2019/04/11,CFC,1
201308225028,735 Clayton Street,2019/04/12,CFC,1
201402269330,1938 18th Street,2019/04/18,CFC,1
201705257601,62 Moss Street,2019/04/19,CFC,1
201610261176,3256 21st Street,2019/04/19,CFC,1
201607273471,65 Buena Vista East Ave,2019/04/23,CFC,3
201402269332,1918-1916 18th Street,2019/04/25,CFC,2
201402269327,1928 18th Street,2019/04/25,CFC,1
201803294952,1887 34th Avenue,2019/04/30,CFC,1
201711073397,3850A Anza Street,2019/04/30,CFC,1
201504103363,2944 21st Street,2019/03/07,CFC,3
201402078043,1236 19th Avenue,2019/03/13,CFC,3
201801269669,10 Sloat Boulevard,2019/03/18,CFC,1
201611183096,10 Restani Way,2019/02/15,CFC,1
201606291227,606 Capp Street,2019/04/08,CFC,20
201604285990,901 Tennessee Street,2019/05/13,Initial TCO,40
201602190104,915 Minna Street,2019/05/20,Initial TCO,49
201702239937,950 Natoma Street,2019/05/20,Initial TCO,6
201406108024,1699 Market Street,2019/05/28,Initial TCO,160
201512235842,126-130 Laguna Street,2019/05/29,Initial TCO,2
201508215004,139 Grand View Avenue,2019/05/02,CFC,1
201811095563,2941A 23rd Avenue,2019/05/02,CFC,1
201710030294,754 20th Avenue,2019/05/02,CFC,1
201608296272,2800 Arelious Walker Dr,2019/05/02,CFC,15
201811095563,2941A 23rd Avenue,2019/05/02,CFC,1
201610039432,121 Cayuga Avenue,2019/05/03,CFC,1
201605238169,1391 8th Avenue,2019/05/03,CFC,5
201810244014,1376 20th Avenue,2019/05/03,CFC,1
201706139174,1462 32nd Avenue,2019/05/06,CFC,1
201704043102,4150 Cabrillo Street,2019/05/06,CFC,1
201610140343,101 Sanchez Street,2019/05/07,CFC,3
201807134560,785-719 14th Street,2019/05/07,CFC,1
201607142358,1270 46th Avenue,2019/05/08,CFC,1
201902011883,1336 25th Avenue,2019/05/08,CFC,2
201608266145,3316-3318 Scott Street,2019/05/09,CFC,1
201808248313,357 Bridgeview Drive,2019/05/10,CFC,1
201607293732,2101 Bay Street,2019/05/14,CFC,6
201605268499,775 Corbett Avenue,2019/05/15,CFC,2
201706139268,659-663 Page Street,2019/05/16,CFC,1
201607071819,1 Toledo Way,2019/05/17,CFC,5
201705197200,400 Lansdale Ave,2019/05/17,CFC,1
201804116028,2130 Cabrillo Street,2019/05/17,CFC,1
201708296336,1487 47th Avenue,2019/05/20,CFC,1
201302281136,477 Eucalyptus Drive,2019/05/22,CFC,1
201701137197,4 Ankeny Street,2019/05/23,CFC,1
201703282491,1555A McAllister Street,2019/05/29,CFC,1
201703211976,1668 Newcomb Avenue,2019/05/29,CFC,1
201507030637,1855 Oak Street,2019/05/30,CFC,1
201802161523,2047 Jefferson Street,2019/05/31,CFC,1
201412053180,52 Innes Court,2018/11/13,CFC,36
201412053181,51 Innes Court,2018/11/13,CFC,36
201312244992,680 Indiana Street,2019/05/20,CFC,7
201703010446,655 Kansas Street,2019/05/17,CFC,4
201612296199,639 Geary Street,2019/05/30,Initial TCO,1
201512145054,1395 22nd Street,2019/06/07,Initial TCO,35
201512145054,1395 22nd Street,2019/06/14,Amended TCO,45
201412234418,245 01st Street,2019/06/14,Amended TCO,55
201412234418,245 01st Street,2019/06/28,Amended TCO,61
201408133730,160 Bernard Street,2019/06/03,CFC,2
201801128603,214 Banks Street,2019/06/03,CFC,1
201701066678,355 Tocoloma Avenue,2019/06/05,CFC,1
201607122077,2867 22nd Street,2019/06/06,CFC,1
201412184051,460 31st Avenue,2019/06/11,CFC,2
201602109217,3441 26th Street,2019/06/11,CFC,1
201709117519,60 Central Avenue,2019/06/13,CFC,1
201607081877,433 34th Avenue,2019/06/17,CFC,2
201801057962,3169 California Street,2019/06/19,CFC,1
201609137546,775 Page Street,2019/06/19,CFC,1
201501125418,239 14th Avenue,2019/06/20,CFC,1
201607293729,1801 Beach Street,2019/06/24,CFC,5
201702149410,431-433 Capp Street,2019/06/27,CFC,1
201703131328,1770 Noe Street,2019/06/27,CFC,1
201802020221,1701 La Salle Avenue,2019/06/21,CFC,1
200806023360,1703 McKinnon Avenue,2019/06/26,CFC,1
201603081424,1566 18th Avenue,2019/06/27,CFC,1
201805240084,625 Kearny Street,2019/06/21,CFC,2
201508134164,551 Visitacion Avenue,2019/06/17,CFC,1
201804247217,119 Peabody Street,2019/06/10,CFC,1
201802020247,1427 28th Avenue,2019/04/03,CFC,1
201808288570,1223A Hollister Avenue,2019/04/03,CFC,1
201706139229,695 ConnecticutSt,2019/07/01,CFC,1
201312265039,23 Canyon Drive,2019/07/02,CFC,1
201801098131,41-43 Restani Way,2019/07/02,CFC,1
201612165233,141 Santa Marina Street,2019/07/03,CFC,1
201802262260,222 Eucalyptus Drive,2019/07/03,CFC,1
9623103S,838-848 Kearny/555 Jackson,2019/07/05,CFC,106
201703302829,91 Chattanooga Street,2019/07/08,CFC,1
201805159091,125 Bay Shore Blvd,2019/07/08,CFC,1
201901251248,4830 Mission Street,2019/07/08,CFC,1
201703292713,3076 26th Street,2019/07/09,CFC,1
201805027946,73 Leese Street,2019/07/10,CFC,1
201812107840,941 14th Street,2019/07/10,CFC,1
201711204339,203 Roanoke Street,2019/07/11,CFC,2
201604154845,538 Mississippi Street,2019/07/11,CFC,1
201612225735,719 Larkin Street,2019/07/15,CFC,42
201601288264,1330 11th Avenue,2019/07/17,CFC,1
201609168045,2335 Larkin Street,2019/07/18,CFC,2
201506027757,461-463 32nd Avenue,2019/07/18,CFC,1
201612306377,33A Lisbon Avenue,2019/07/19,CFC,1
201603081451,630 Natoma Street,2019/07/19,CFC,3
201510149629,36 Tingley Street,2019/07/22,CFC,1
201610180549,416 Bartlett Street,2019/07/23,CFC,1
201404012185,160 Germania Street,2019/07/23,CFC,1
201602058916,635 Clayton Street,2019/07/24,CFC,1
201608044194,1631 Chestnut Street,2019/07/24,CFC,1
201703131339,3561 Pierce Street,2019/07/25,CFC,1
201706220140,210 Girard Street,2019/07/26,CFC,1
201603101699,531 33rd Avenue,2019/07/26,CFC,1
201706280588,1031-1039 Scott Street,2019/07/26,CFC,3
201603232865,1236 Haight Street,2019/07/26,CFC,1
201606200383,2238 Vicente Street,2019/07/26,CFC,1
201805250259,225 17th Avenue,2019/07/30,CFC,1
201711022974,1270 Church Street,2019/07/31,CFC,2
201404223783,17 Temple Street,2019/07/22,CFC,1
201412234418,245 01st Street,2019/08/01,Amended TCO,2
201501236483,2600 Harrison Street,2019/08/07,Initial TCO,20
201305036062,555 Fulton Street,2019/08/16,Initial TCO,56
201605066751,455 Fell Street,2019/08/23,Initial TCO,108
201505297566,3906-3908 24th Street,2019/08/06,CFC,3
201412234391,39 Rutledge Street,2019/08/07,CFC,1
201512144996,504 Hudson Avenue,2019/08/07,CFC,1
201512145008,550 Hudson Avenue,2019/08/07,CFC,1
201512145012,564 Hudson Avenue,2019/08/07,CFC,1
201512145023,576 Hudson Avenue,2019/08/07,CFC,1
201410179280,4334 Geary Boulevard,2019/08/08,CFC,6
201501145725,500 Hudson Avenue,2019/08/09,CFC,1
201501145724,540 Hudson Avenue,2019/08/09,CFC,1
201512145004,544 Hudson Avenue,2019/08/09,CFC,1
201512145007,548 Hudson Avenue,2019/08/09,CFC,1
201512145009,552 Hudson Avenue,2019/08/09,CFC,1
201512145010,556 Hudson Avenue,2019/08/09,CFC,1
201512145011,560 Hudson Avenue,2019/08/09,CFC,1
201512145013,568 Hudson Avenue,2019/08/09,CFC,1
201512145014,572 Hudson Avenue,2019/08/09,CFC,1
201706290654,"651 8th Street, Treasure Island",2019/08/09,CFC,9
201408012761,255 Seacliff Avenue,2019/08/12,CFC,1
201711143924,54 Mullen Avenue,2019/08/13,CFC,1
201603010901,1565 Jackson Street,2019/08/15,CFC,2
201611082235,4061 Cesar Chavez Street,2019/08/19,CFC,1
201501236565,2500 Arelious Walker Drive,2019/08/20,CFC,122
201603162239,989 Ellsworth Street,2019/08/22,CFC,4
201512215657,4043 Cesar Chavez,2019/08/22,CFC,2
201412234394,35 Rutledge Street,2019/08/23,CFC,1
201612215531,1029 Geary Street,2019/08/23,CFC,1
201801057986,1717 Mason Street,2019/08/23,CFC,1
201905171021,1117 Clement Street,2019/08/27,CFC,1
201610311527,1322 23rd Avenue,2019/08/28,CFC,1
201702280324,577 42nd Avenue,2019/08/28,CFC,1
